Topic0:,word,weight
end : 0.9157348609319139,end , 0.9157348609319139
money : 0.006574164240931151,money , 0.006574164240931151
health : 0.0065239328166525265,health , 0.0065239328166525265
job : 0.006469731091971622,job , 0.006469731091971622
security : 0.006469731091957425,security , 0.006469731091957425
financial : 0.006469731091933683,financial , 0.006469731091933683
economy : 0.006469731091925575,economy , 0.006469731091925575
work : 0.006469731091874557,work , 0.006469731091874557
uncertainty : 0.006469731091841036,uncertainty , 0.006469731091841036
economic : 0.006469731091832255,economic , 0.006469731091832255
,,
,,
Topic1:,,
economy : 0.5215116940676887,economy , 0.5215116940676887
business : 0.4506881391266776,business , 0.4506881391266776
life : 0.0023284932525762573,life , 0.0023284932525762573
health : 0.002326134469299257,health , 0.002326134469299257
financial : 0.0023223104617566405,financial , 0.0023223104617566405
safety : 0.002318894588898102,safety , 0.002318894588898102
security : 0.0023186958750037903,security , 0.0023186958750037903
family : 0.002315730356544572,family , 0.002315730356544572
money : 0.002311651300283012,money , 0.002311651300283012
economic : 0.0023116513002670097,economic , 0.0023116513002670097
,,
,,
Topic2:,,
family : 0.33335682399974675,family , 0.33335682399974675
health : 0.31605427099521716,health , 0.31605427099521716
life : 0.18591949546845293,life , 0.18591949546845293
work : 0.1544390488889868,work , 0.1544390488889868
safety : 0.001028794662578692,safety , 0.001028794662578692
job : 0.0010268932789696537,job , 0.0010268932789696537
security : 0.0010243487246737865,security , 0.0010243487246737865
economic : 0.0010236673140313062,economic , 0.0010236673140313062
financial : 0.0010231072824209864,financial , 0.0010231072824209864
uncertainty : 0.0010216047320246223,uncertainty , 0.0010216047320246223
,,
,,
Topic3:,,
safety : 0.32524406210308515,safety , 0.32524406210308515
economic : 0.29679916645510235,economic , 0.29679916645510235
uncertainty : 0.239343890239904,uncertainty , 0.239343890239904
health : 0.12523911615949793,health , 0.12523911615949793
family : 0.0013609531553845202,family , 0.0013609531553845202
financial : 0.0013386221487353567,financial , 0.0013386221487353567
security : 0.0013370033074677492,security , 0.0013370033074677492
job : 0.0013348449351069595,job , 0.0013348449351069595
business : 0.0013348195448764533,business , 0.0013348195448764533
life : 0.0013343668455579971,life , 0.0013343668455579971
,,
,,
Topic4:,,
job : 0.36592794664356443,job , 0.36592794664356443
security : 0.296186509881719,security , 0.296186509881719
financial : 0.18955425459637515,financial , 0.18955425459637515
money : 0.13907564161614555,money , 0.13907564161614555
health : 0.0009331169646401501,health , 0.0009331169646401501
family : 0.0009303260863335637,family , 0.0009303260863335637
safety : 0.0009299347547314294,safety , 0.0009299347547314294
business : 0.0009239396994909054,business , 0.0009239396994909054
life : 0.0009238808614289133,life , 0.0009238808614289133
work : 0.0009233425897334541,work , 0.0009233425897334541